date,company,country,city,job_title,source,source_url,publication_date,fit_score,fit_summary,missing_requirements,recruiter,hiring_manager,verified_email,action,gmail_draft_status,gmail_draft_reference,application_status,last_action,next_action,notes
2026-09-26,BDO Luxembourg,Luxembourg,Cloche d'Or,Change Management Specialist – Accounting and Corporate Services Transformation,Portail carrière BDO (ATS Skeeled),https://app.skeeled.com/offer/c/6a703ebb432df7b7c91c890a,Date de publication non confirmée,HOT,Change management/transformation/stakeholder engagement - fort alignement,"Niveau annoncé 4-6 ans, inférieur aux 20+ ans de Salim",Non identifié,Non identifié,Aucun,Candidater via portail Skeeled,Aucun brouillon (email non vérifié),N/A,Identifié - non postulé,Recherche WebSearch 26/09/2026,Vérifier niveau senior disponible puis candidater,Preuve B
2026-09-26,Aztec Group,Luxembourg,Luxembourg,Senior Change Manager – Process Optimisation & Digitisation (12-month FTC),LinkedIn Jobs,https://lu.linkedin.com/jobs/view/senior-change-manager-process-optimisation-digitisation-12-month-ftc-at-aztec-group-3666788486,Date de publication non confirmée,HOT,"10 ans change management + qualifications Programme/Project - correspondance quasi directe",Contrat 12 mois (FTC) à valider selon préférence,Non identifié,Non identifié,Aucun,Candidater via LinkedIn,Aucun brouillon (email non vérifié),N/A,Identifié - non postulé,Recherche WebSearch 26/09/2026,Candidater via LinkedIn et vérifier statut actif,Preuve B
2026-09-26,Administration de la Navigation Aérienne (ANA),Luxembourg,Findel,2 Project Managers (m/f) réf. E00044054/F00044055/M00044056,GovJobs Luxembourg,https://govjobs.public.lu/fr/postuler/postes-ouverts/postes-vacants/fonctionnaires/2026/A1/Juillet/20260728-2projectmanagersmfrfe00044054r-490116.html,2026-07-28,HOT,Coordination projets stratégiques/transformation organisationnelle - bon fit PM/coordination,Statut d'ouverture non reconfirmé (~60 jours depuis publication),PMO (rôle mentionné sans nom),Non identifié,Aucun,Vérifier statut puis candidater sur GovJobs,Aucun brouillon (email non vérifié),N/A,Identifié - non postulé,Recherche WebSearch 26/09/2026,Vérifier si toujours ouvert sur govjobs.public.lu,Preuve B - source officielle
2026-09-26,EIB (European Investment Bank),Luxembourg,Luxembourg (siège),Senior Head of Change Management Programme Unit,Agrégateurs unjobs.org / unjobnet.org,https://www.unjobnet.org/jobs/detail/eib-senior-head-of-change-management-programme-unit-based-in-luxembourg-85014023,Process avril-juin 2026 rapporté,WARM,Fit exceptionnel change management groupe/transformation organisationnelle,Page eib.org d'origine non retrouvée directement,Non identifié,Non identifié,Aucun,Surveiller erecruitment.eib.org,Aucun brouillon (email non vérifié),N/A,Signal - processus probablement avancé/clos,Recherche WebSearch 26/09/2026,Réseauter + surveiller futurs cycles EIB,Preuve C - source secondaire
2026-09-26,Advisory Key,Luxembourg,Luxembourg,Business Change Manager (CMB),LinkedIn Jobs,https://lu.linkedin.com/jobs/view/business-change-manager-cmb-at-advisory-key-4023470658,Date de publication non confirmée,WARM,Change management - bon alignement a priori,Détails de responsabilités non retournés par la recherche,Non identifié,Non identifié,Aucun,Consulter l'offre complète,Aucun brouillon (email non vérifié),N/A,Identifié - non postulé,Recherche WebSearch 26/09/2026,Lire l'offre complète avant candidature,Preuve B
2026-09-26,Grant Thornton Luxembourg,Luxembourg,Luxembourg,Project Manager (M/F) – Business Transformation,LinkedIn Jobs,https://lu.linkedin.com/jobs/view/project-manager-m-f-%E2%80%93-business-transformation-at-grant-thornton-luxembourg-2901739363,Date de publication non confirmée - identifiant ancien,WARM,Project management + business transformation - bon fit,Offre probablement expirée (ID ancien),Non identifié,Non identifié,Aucun,Vérifier si active,Aucun brouillon (email non vérifié),N/A,Statut incertain,Recherche WebSearch 26/09/2026,Vérifier sur site carrières Grant Thornton,Preuve B
2026-09-26,Revolut,Luxembourg,Luxembourg,Business Transformation Manager - Luxembourg,LinkedIn Jobs,https://lu.linkedin.com/jobs/view/business-transformation-manager-luxembourg-at-revolut-2842525319,Date de publication non confirmée - identifiant ancien,WARM,Business transformation scale-up - bon fit,Offre probablement expirée (ID ancien),Non identifié,Non identifié,Aucun,Vérifier si active,Aucun brouillon (email non vérifié),N/A,Statut incertain,Recherche WebSearch 26/09/2026,Vérifier sur careers.revolut.com,Preuve B
2026-09-26,Deutsche Börse,Luxembourg,Luxembourg,Service Delivery Manager – Group Security (f/m/d),LinkedIn Jobs,https://lu.linkedin.com/jobs/view/service-delivery-manager-group-security-f-m-d-at-deutsche-b%C3%B6rse-3740471346,Date de publication non confirmée,WARM,Delivery management - fit correct,Périmètre Group Security plus technique/spécialisé,Non identifié,Non identifié,Aucun,Consulter l'offre complète,Aucun brouillon (email non vérifié),N/A,Identifié - non postulé,Recherche WebSearch 26/09/2026,Lire l'offre complète avant candidature,Preuve B
2026-09-26,BCE (ECB) - Agile Development Office,Allemagne,Francfort,Lead Expert Solution Train Engineer – Digital Euro,talent.ecb.europa.eu,https://talent.ecb.europa.eu/careers/JobDetail/Lead-Expert-Solution-Train-Engineer-Digital-Euro/12621,Clôture 2025-12-11,A_VERIFIER,SAFe/RTE - fit exceptionnel sur le papier,Hors zone prioritaire (Francfort); offre clôturée,Non identifié,Non identifié,Aucun,Surveiller futures ouvertures,Aucun brouillon (email non vérifié),N/A,Clôturée,Recherche WebSearch 26/09/2026,Surveiller talent.ecb.europa.eu,Preuve B - signal futur
2026-09-26,Commission européenne (DIGIT),Belgique,Bruxelles,Project Manager réf. EC/2025/DIGIT/452011,eu-careers.europa.eu,https://eu-careers.europa.eu/en/job-opportunities/project-manager/ec-2025-digit-452011,Deadline 2025-03-31,A_VERIFIER,Agile/SAFe/PM2/transformation digitale - très bon fit,Offre clôturée depuis 2025,Non identifié,Non identifié,Aucun,Surveiller futures publications DIGIT,Aucun brouillon (email non vérifié),N/A,Clôturée,Recherche WebSearch 26/09/2026,Surveiller eu-careers.europa.eu,Preuve B - signal futur
